Name,Price,Profession,Normalized
Logickeyboard Avid Pro Tools FRZ,131.0,"Entertainment, Engineer",0.32362516720086815
Esperanza TK101,4.8,Executive,0.005123286979784468
HP Wireless Keyboard and Mouse 300,25.2,"Marketing, Executive",0.05660853544658405
Zagg Tri Fold,89.9,"Artist, Lawyer",0.21989753426040431
Conceptum KBW01 White,25.9,Healthcare,0.05837518612926835
Azio Retro Classic USB White/Gold,285.0,"Artist, Engineer",0.7122883173914141
Azio Retro Classic USB Elwood,279.0,"Artist, Homemaker",0.6971455972541201
Xcellon KW-A300B,49.0,"Engineer, Artist",0.11667465865785022
Microsoft Surface Pro X Signature,399.0,"Entertainment, Executive",1.0
Riitek Mini i15,38.36,Marketing,0.08982156828104887
Weibo WB-8011,16.2,Marketing,0.03389445524064306
Keywin RL-GK06,10.78,"Homemaker, Marketing",0.020215531383287483
Natec Swordfish,5.73,Marketing,0.0074704086010650384
Keywin GK300,12.03,Marketing,0.02337026474522373
NG KB-UM-104,7.4,"Artist, Healthcare",0.011685132372611868
Microsoft Surface Pro Signature Type Cover Alcantara Platinum,179.0,"Executive, Artist",0.4447669282992201
Logitech Wireless Solar Keyboard K750 White,89.0,Lawyer,0.2176261262398102
Natec Tetra Blue/White,28.5,"Engineer, Executive",0.06493703152209575
Modecom MC-5003 Art Barbie,3.9,Entertainment,0.002851878959190369
G-Cube Mad For Plaid Red,17.7,"Marketing, Doctor",0.03768013527496656
Roline Numeric Keyboard USB Black,10.78,Entertainment,0.020215531383287483
Microsoft Surface Pro Type Cover Alcantara Platinum,174.51,Lawyer,0.43343512606314505
LMP KB-1243 Grey,94.9,Executive,0.23251646770814932
Esperanza Silicone EK126K,6.43,"Homemaker, Artist",0.009237059283749337
Microsoft Surface Pro Signature Type Cover Poppy Red,179.0,Lawyer,0.4447669282992201
G-Cube Mad for Plaid Pink,28.5,"Entertainment, Doctor",0.06493703152209575
De Tech DE6090,6.9,"Healthcare, Entertainment",0.010423239027837369
Mobilis B033 White,34.48,"Doctor, Entertainment",0.08002927592559876
Esperanza EK134,4.08,"Healthcare, Engineer",0.003306160563309189
Advent ADESKWL19K,17.99,Healthcare,0.038412033414935765
Logitech Advanced Combo Wireless Keyboard and Mouse,59.9,Marketing,0.1441839335739343
Raspberry Pi Keyboard White,18.9,"Engineer, Doctor",0.04070867930242535
Promate SiriKeyboard,46.9,Marketing,0.11137470660979733
Alcatroz Jellybean U200 Mint,9.9,Entertainment,0.017994599096484366
Advent C112K,11.99,"Entertainment, Engineer",0.023269313277641774
BSL RMBSL-40RFT,30.9,"Engineer, Artist",0.07099411957701335
KeySonic KSK-5230,72.0,"Executive, Homemaker",0.17472175251747724
Tracer Luster,15.3,Marketing,0.03162304722004896
Omega OKB004B,25.0,Engineer,0.05610377810867425
Blow KP-112,8.99,Entertainment,0.015697953208994777
Mobilis Mini,5.42,"Healthcare, Executive",0.006688034727304847
LogiLink ID0184,5.43,Doctor,0.0067132725942003375
Active Jet K-3113,5.56,Artist,0.007041364863841707
Riitek Rii mini K12,33.5,"Lawyer, Engineer",0.07755596496984074
De Tech DE6084,6.81,Executive,0.010196098225777954
Active Jet K-3016 White Slim,5.56,"Healthcare, Engineer",0.007041364863841707
KB560,31.87,Entertainment,0.07344219266587589
Natec Goby,4.28,"Lawyer, Healthcare",0.0038109179012189892
Rapoo 8060,20.0,"Healthcare, Homemaker",0.04348484466092926
A4Tech KB-8A,8.91,Artist,0.015496050273830856
Lamtech LAM040830,8.63,"Doctor, Entertainment",0.014789390000757139
Sbox BT-05,13.45,Marketing,0.02695404184438331
Bitmore K200,7.24,Entertainment,0.011281326502284028
R-Horse FC-5166,17.0,Engineer,0.03591348459228226
Logickeyboard Logic Pro X - Mac Astra,144.0,"Doctor, Marketing",0.3564343941650051
Trust Ziva,8.89,"Entertainment, Healthcare",0.015445574540039878
Gembird KBS-WCH-01,12.56,Engineer,0.024707871690684703
OEM WB-8099,15.0,"Executive, Marketing",0.03086591121318426
Logickeyboard Pro Tools - Mac Astra,144.0,Lawyer,0.3564343941650051
Tracer Cinnabar RF,20.0,"Homemaker, Engineer",0.04348484466092926
Sandberg Wired Numeric Keypad,11.99,"Engineer, Lawyer",0.023269313277641774
Matias Wired Aluminium Mac Keyboard,60.54,Doctor,0.14579915705524568
